"","genotype","Tmem119","Gabbr1","Gabbr2","Cd164","Clec4a3","Ecscr","Fcrls","Gpr34","Laptm4a","Laptm5","P2ry12","P2ry13","Ppib","Selenok","Selenop","Tmem14c","Trem2","Tspan3","Tspan4","Tspan7","C1qc","Tmsb4x","Rps29","Ftl1","mt_Nd2","mt_Co3"
"2227","ctr",64.1780041122056,4.01112525701286,4.01112525701286,16.0445010280514,0,4.01112525701286,36.1001273131156,16.0445010280514,8.02225051402569,88.2447556542826,32.0890020561028,20.0556262850643,0,0,56.1557535981798,0,24.0667515420771,4.01112525701286,0,0,52.1446283411671,8.02225051402569,4.01112525701286,0,6.40416258534671,26.3226886091263
"2228","ctr",28.4001855952129,17.750115997008,7.10004639880322,9.76256379835441,2.6625173995512,5.32503479910241,7.98755219865359,7.98755219865359,7.10004639880322,38.1627493935673,39.9377609932681,11.5375753980552,0,5.32503479910241,28.4001855952129,3.55002319940161,11.5375753980552,16.8626101971576,2.6625173995512,0,28.4001855952129,25.7376681956617,25.7376681956617,13.3125869977561,8.4267965691156,31.1993167625351
"2229","ctr",86.8859826844134,7.89872569858303,7.89872569858303,7.89872569858303,0,19.7468142464576,43.4429913422067,15.7974513971661,3.94936284929153,169.822602519536,94.7847083829966,19.7468142464576,0,0,35.5442656436236,0,15.7974513971661,11.8480885478746,0,0,43.4429913422067,71.0885312872475,43.4429913422067,27.6455399450407,16.9821812646966,57.1285999429712
"2230","ctr",41.7432655589674,5.84405717825543,0.834865311179349,5.00919186707608,0.834865311179349,2.50459593353804,3.33946124471739,5.84405717825543,7.5137878006141,42.5781308701467,25.0459593353804,9.18351842297281,0,0.834865311179349,20.0367674683043,0,5.84405717825543,5.00919186707608,0.834865311179349,0,17.5321715347663,15.8624409124076,19.201902157125,6.67892248943478,4.96867585352455,14.2613696132403
"2231","ctr",50.8790773927299,11.3064616428289,16.9596924642433,7.06653852676805,0,2.82661541070721,7.06653852676805,12.7197693481824,22.6129232856578,50.8790773927299,31.0927695177794,16.9596924642433,0,5.65323082141444,19.7863078749505,7.06653852676805,4.23992311606083,26.8528464017186,1.41330770535361,0,31.0927695177794,25.439538696365,28.2661541070721,31.0927695177794,11.9886087398949,42.0041127254226
"2232","ctr",34.0857434854892,13.7793431111552,5.0766000935835,7.25228584797644,0,4.35137150878585,11.6036573567623,4.35137150878585,5.80182867838114,37.7118864094774,18.8559432047387,10.153200187167,2.17568575439293,0,10.153200187167,2.90091433919057,5.0766000935835,6.52705726317876,0.725228584797644,0.725228584797644,25.3830004679175,15.2298002807505,16.6802574503458,10.8784287719647,6.17605388042256,24.4177357261235
"2233","ctr",49.6293830380513,5.72646727362129,1.90882242454044,15.2705793963235,1.90882242454044,5.72646727362129,20.9970466699447,5.72646727362129,13.361756971783,70.626429707996,40.0852709153491,9.54411212270216,0,3.81764484908086,53.447027887132,1.90882242454044,9.54411212270216,7.63528969816173,0,0,34.3588036417278,36.2676260662682,24.8146915190256,7.63528969816173,13.1810487528518,43.417712192336
"2234","ctr",51.8139899202136,19.6535823835293,21.4402716911228,12.506825153155,1.78668930759358,14.2935144607486,21.4402716911228,10.7201358455614,14.2935144607486,89.3344653796787,37.520475459465,19.6535823835293,7.14675723037429,10.7201358455614,33.9470968442779,8.93344653796787,8.93344653796787,16.0802037683421,0,0,46.4539219974329,39.3071647670586,41.0938540746522,28.5870289214972,9.31520844232138,27.5999902804102
"2235","ctr",72.1012394435646,30.2360036376238,13.9550786019802,6.97753930099011,2.32584643366338,0,20.9326179029703,18.606771469307,18.606771469307,88.3821644792081,48.8427751069308,11.6292321683169,0,2.32584643366338,74.4270858772279,2.32584643366338,6.97753930099011,39.5393893722772,0,0,62.797853708911,27.9101572039604,20.9326179029703,9.30338573465349,9.61700286776865,36.0113129170534
"2236","ctr",40.9992213076467,21.2317396057456,18.3032237980566,5.85703161537811,0,2.19638685576679,13.910450086523,5.12490266345584,9.51767637498943,45.3919950191803,27.820900173046,8.78554742306713,0,1.46425790384452,12.4461921826785,5.85703161537811,2.92851580768905,14.6425790384452,0.732128951922265,0,30.7494159807351,2.92851580768905,9.51767637498943,5.85703161537811,3.97720999713298,16.0215146342328
"2237","ctr",110.735179373954,0,0,0,0,4.25904536053672,25.5542721632202,21.2952268026835,29.8133175237569,97.9580432923444,34.0723628842937,12.7771360816101,0,0,46.8494989659037,0,0,8.5180907210734,0,0,55.3675896869772,17.0361814421468,12.7771360816101,8.5180907210734,13.9562101992211,44.3642608171233
"2238","ctr",40.9484848405433,1.63793939362174,0,14.7414545425956,0,6.55175757448693,18.017333329839,8.18969696810867,34.3967272660564,75.3452121065997,26.2070302979477,6.55175757448693,0,0,54.0519999895171,1.63793939362174,11.4655757553521,14.7414545425956,1.63793939362174,1.63793939362174,27.8449696915694,21.2932121170825,26.2070302979477,9.82763636173039,5.11315540506897,17.9742391443929
"2239","ctr",37.8665408332386,18.2050677082878,17.4768649999563,5.09741895832059,1.45640541666302,2.91281083332605,8.73843249997813,5.8256216666521,8.73843249997813,41.5075543748962,21.1178785416139,14.5640541666302,0.728202708331514,2.18460812499454,19.6614731249508,2.18460812499454,3.64101354165757,17.4768649999563,1.45640541666302,0,27.6717029165975,5.09741895832059,5.8256216666521,1.45640541666302,3.91304094538188,15.8965777385519
"2240","ctr",25.1845645336946,9.85482960014139,3.28494320004713,2.73745266670594,1.64247160002356,0.547490533341189,7.66486746677662,4.3799242667295,7.11737693343545,30.6594698671065,21.3521308003063,9.30733906680018,0.547490533341189,1.09498106668237,20.257149733624,0.547490533341189,6.02239586675306,6.02239586675306,0,0,22.4471118669887,16.9722065335768,13.6872633335297,10.9498106668237,5.180859117765,16.6979411508996
"2241","ctr",45.5281959809185,7.3829506996084,2.46098356653613,7.3829506996084,2.46098356653613,3.6914753498042,31.9927863649698,9.84393426614455,12.3049178326807,46.7586877641866,25.8403274486294,20.9183603155571,1.23049178326807,3.6914753498042,34.4537699315059,1.23049178326807,17.2268849657529,15.9963931824849,0,1.23049178326807,40.6062288478462,31.9927863649698,24.6098356653613,19.6878685322891,11.0098498406267,38.4930560887687
"2242","ctr",52.7383741550324,2.19743225645969,0,4.39486451291936,4.39486451291936,10.9871612822984,15.3820257952178,28.5666193339759,28.5666193339759,74.7126967196292,37.3563483598145,10.9871612822984,4.39486451291936,2.19743225645969,85.6998580019277,4.39486451291936,6.59229676937904,46.1460773856533,4.39486451291936,2.19743225645969,41.7512128727339,52.7383741550324,48.343509642113,19.7768903081371,10.0794459658,43.65994647934
